pokelatin,translation,comment,game,added_date
ctbtcqfcwrbac Aw,,,SwSh,2025-05-18
Mbgctefqci Zwb,,,SwSh,2025-05-18
tra XJPYIKMR,,,SwSh,2025-05-18
pa,,,SwSh,2025-05-18
YCR WMs DAL SHQDIsF,,,SwSh,2025-05-18
QTVEWM Agfoec,,,SwSh,2025-05-18
MREsH sSYC FKVE,,,SwSh,2025-05-18
Fgoqj,,,SwSh,2025-05-18
R w Etiae,,,SwSh,2025-05-18
HBTOYQLT,,,SwSh,2025-05-18
FCJTs,,,SwSh,2025-05-18
DIsFXsZ,,,SwSh,2025-05-18
DALTACQ,,,SwSh,2025-05-18
YCB,,,SwSh,2025-05-18
BXSDA,,,SwSh,2025-05-18
QLDHZ SVEWOX AYJ XAT FRE Res,,,SwSh,2025-05-18
E DV,,,SwSh,2025-05-18
QH ASLM,,,SwSh,2025-05-18
XBR Heaiptg Vthp,,,SwSh,2025-05-18
RJQXL Joifoqt Hjqip,,,SwSh,2025-05-18
MopKac,,,SwSh,2025-05-18
AXPBSCO,,,SwSh,2025-05-18
BSCOF,,,SwSh,2025-05-18
QLEDAXJP,,,SwSh,2025-05-18
FZWKTZ,,,SwSh,2025-05-18
QLEDAHVT,,,SwSh,2025-05-18
DYIsHVT,,,SwSh,2025-05-18
BSCOFsV,,,SwSh,2025-05-18
LWKMDA,,,SwSh,2025-05-18
AZWSCOFX,,,SwSh,2025-05-18
COFsV,,,SwSh,2025-05-18
BSCOFsVT,,,SwSh,2025-05-18
QLEDAMV,,,SwSh,2025-05-18
XJPYIK,,,SwSh,2025-05-18
FZWKTZ,,,SwSh,2025-05-18
aqh,,,SwSh,2025-05-18
r,,,SwSh,2025-05-18
Mbgctefqc,,,SwSh,2025-05-18
aqh,,,SwSh,2025-05-18
Oawcort,,,SwSh,2025-05-18
aqhr,,,SwSh,2025-05-18
itqhowfqc,,,SwSh,2025-05-18
aqhr,,,SwSh,2025-05-18
Oawcort,,,SwSh,2025-05-18
aqhr,,,SwSh,2025-05-18
Hrga itqhow,,,SwSh,2025-05-18
bitcaqhrw Hrgaitqhow,,,SwSh,2025-05-18
Wcqjowe,,,SwSh,2025-05-18
Oawcort,,,SwSh,2025-05-18
Vitq how,,,SwSh,2025-05-18
Jbitc aqhrwta,,,SwSh,2025-05-18
ortachtach,,,SwSh,2025-05-18
Rqoqfij,,,SwSh,2025-05-18
Mbgctefqc,,,SwSh,2025-05-18
Agfoe cqe,,,SwSh,2025-05-18
Jbitc aqhrwta,,,SwSh,2025-05-18
aqhrwta,,,SwSh,2025-05-18
Oawcortach,,,SwSh,2025-05-18
ZWKJ ZVKJ,,,SwSh,2025-05-18
Crqot,,,SwSh,2025-05-18
Dfcbw,,,SwSh,2025-05-18
EJC,,,SwSh,2025-05-18
LFAH,,,SwSh,2025-05-18
RFJ,,,SwSh,2025-05-18
YCB,,,SwSh,2025-05-18
MWTSLOZ BrFF,,,SwSh,2025-05-18
Crqot,,,SwSh,2025-05-18
CQKMQO,,,SwSh,2025-05-18
Teo,,,SwSh,2025-05-18
TfA,,,SwSh,2025-05-18
TVC,,,SwSh,2025-05-18
FeC,,,SwSh,2025-05-18
eG,,,SwSh,2025-05-18
GVHE ZREVX,,,SwSh,2025-05-18
DECRMWCSTO,,,SwSh,2025-05-18
Jrthj VowaThq,,,SwSh,2025-05-18
VteTaiw Zraqo,,,SwSh,2025-05-18
 Ii,,,SwSh,2025-05-18
Fiee bt ae,,,SwSh,2025-05-18
 e,,,SwSh,2025-05-18
 Ii,,,SwSh,2025-05-18
QTVEWM,,,SwSh,2025-05-18
BVCOFsVT,,,SwSh,2025-05-18
QLEDAHV,,,SwSh,2025-05-18
QLEDAHVTZWKDAXJPY,,,SwSh,2025-05-18
BSCOFsHVTZWKMR,,,SwSh,2025-05-18
QLEDAXJPYI,,,SwSh,2025-05-18
Qfcojicte,,,SwSh,2025-05-18
Fqotagh,,,SwSh,2025-05-18
R HZ,,,SwSh,2025-05-18
ELBRsKT,,,SwSh,2025-05-18
BSCOFsHVTZW,,,SwSh,2025-05-18
QLEDAXJPYI,,,SwSh,2025-05-18
COFsVTZWKMD,,,SwSh,2025-05-18
QLEDAHVTZW,,,SwSh,2025-05-18
FJHTO,,,SwSh,2025-05-18
BSKMR,,,SwSh,2025-05-18
HVDZW,,,SwSh,2025-05-18
DALTACQ,,,SwSh,2025-05-18
WAE,,,SwSh,2025-05-18
Sjqq,,,SwSh,2025-05-18
MTJ XLSLO,,,SwSh,2025-05-18
WQEHQE WEQQB QCsI Aebcae EJYS Rqoqfij Btfiog Vtog VptahqjQssI Zfti t Cawa,,,SwSh,2025-05-18
ahqwr hig,,,SwSh,2025-05-18
X()A qhbeg,,Company name,SwSh,2025-05-18
AJMIEQK,DENSOKU,Business name DENSOKU,SwSh,2025-10-24
ZWKJ Vcieo,,Rondo Floral,SwSh,2025-10-24
Rqt Aiqj,,Good fit,SwSh,2025-10-24
rZisA,,Celebrity,SwSh,2025-10-24
SwO iwYYwR,JeT seTTeR,Jet Setter,SwSh,2025-10-24
Rojr QEVSYTF,,Lapras Shipwrights,SwSh,2025-10-24
IsJYWECV,,Sonoqui,SwSh,2025-10-24
BELCJY SEVs,,Steelix Railcars,SwSh,2025-10-24
XWR,,MCR Freight,SwSh,2025-10-24
qgtwo,defog,DEFOG,SwSh,2025-10-24
IYESOJE ESLZWC,,RKS Laboratories,SwSh,2025-10-24
XWA qhbeg,,MCA Cargo,SwSh,2025-10-24
IssLQ IQij,,Timburr Builders.,SwSh,2025-10-24
AZQS Fgoqj,,Dream Dairy,SwSh,2025-10-24
Abtej,Daily,Daily Discovery,SwSh,2025-10-24
Atqwharej,Discovery,Daily Discovery,SwSh,2025-10-24
CSDEV iaFFe,,Yoshida Cafe,SwSh,2025-10-24
